,Title,Genre,DomesticBox_Office,Month,Year
461,The Kid Who Would Be King,Adventure,16790790,1,2019
462,Detroit,Drama,16790139,7,2017
463,Missing Link,Adventure,16649539,4,2019
464,Mary Queen of Scots,Drama,16648499,12,2018
465,Forever My Girl,Drama,16376066,1,2018
466,Mortal Engines,Action,15951040,12,2018
467,The Birth of a Nation,Drama,15861566,10,2016
468,Eddie the Eagle,Drama,15789389,2,2016
469,Hunter Killer,Thriller/Suspense,15767460,10,2018
470,Late Night,Comedy,15500045,6,2019
471,The Turning,Horror,15472775,1,2020
472,The Infiltrator,Thriller/Suspense,15436808,7,2016
473,Gretel & Hansel,Horror,15347654,1,2020
474,Miss Bala,Action,14998027,2,2019
475,If Beale Street Could Talk,Drama,14915773,12,2018
476,Keeping Up with the Joneses,Comedy,14904426,10,2016
477,The Prodigy,Horror,14856291,2,2019
478,The Possession of Hannah Grace,Horror,14836174,11,2018
479,The Girl in the Spiderâs Web,Thriller/Suspense,14828555,11,2018
480,Criminal,Action,14708696,4,2016
481,The Case for Christ,Drama,14678714,4,2017
482,"Hello, My Name is Doris",Drama,14444999,3,2016
483,The Edge of Seventeen,Drama,14431633,11,2016
484,Wish Upon,Horror,14301505,7,2017
485,RBG,Documentary,14051361,5,2018
486,Love & Friendship,Drama,14016568,5,2016
487,It Comes at Night,Horror,13985117,6,2017
488,Jackie,Drama,13960394,12,2016
489,Born in China,Documentary,13873211,4,2017
490,Poms,Comedy,13631124,5,2019
491,The Way Back,Drama,13590514,3,2020
492,Boku no HÄ«rÅ Akademia The Movie HÄ«…,Adventure,13553826,2,2020
493,Eighth Grade,Drama,13539710,7,2018
494,Megan Leavey,Drama,13406304,6,2017
495,Hillaryâs America: The Secret Histo…,Documentary,13099931,7,2016
496,The Founder,Drama,12786053,1,2017
497,The Darkest Minds,Thriller/Suspense,12695691,8,2018
498,Triple 9,Thriller/Suspense,12639297,2,2016
499,Battle of the Sexes,Drama,12638526,9,2017
500,Brahms: The Boy II,Horror,12611536,2,2020
501,The Light Between Oceans,Drama,12545979,9,2016
502,Dangal,Action,12391761,12,2016
503,Three Identical Strangers,Documentary,12320845,6,2018
504,Before I Fall,Drama,12241072,3,2017
505,The Kitchen,Drama,12180032,8,2019
506,After,Thriller/Suspense,12138565,4,2019
507,Upgrade,Thriller/Suspense,11977130,6,2018
508,"Roman J. Israel, Esq.",Drama,11962712,11,2017
509,Blinded by the Light,Drama,11901145,8,2019
510,Padmavati,Drama,11846060,1,2018
511,Fifty Shades of Black,Comedy,11686940,1,2016
512,No Manches Frida,Comedy,11528613,9,2016
513,Unforgettable,Thriller/Suspense,11368012,4,2017
514,The Old Man and the Gun,Comedy,11277120,9,2018
515,Dark Waters,Drama,11136084,11,2019
516,Hell Fest,Horror,11107431,9,2018
517,CafÃ© Society,Drama,11103205,7,2016
518,Pride and Prejudice and Zombies,Black Comedy,10907291,2,2016
519,The Lighthouse,Drama,10867104,10,2019
520,Welcome to Marwen,Drama,10763520,12,2018
521,The Darkness,Horror,10753574,5,2016
522,Nocturnal Animals,Thriller/Suspense,10663357,11,2016
523,The Beguiled,Western,10576669,6,2017
524,Greta,Thriller/Suspense,10544310,3,2019
525,Impractical Jokers: The Movie,Comedy,10466091,2,2020
526,Black Christmas,Horror,10429730,12,2019
527,I Still Believe,Drama,10410004,3,2020
528,Live by Night,Drama,10378555,12,2016
529,The Miracle Season,Drama,10230620,4,2018
530,The Best of Enemies,Drama,10205616,4,2019
531,The Belko Experiment,Horror,10166820,3,2017
